iter	RMSE
0	0.9988102073
1	0.9976148616
2	0.9964191921
3	0.9958184954
4	0.9950705395
5	0.9943481085
6	0.9938321592
7	0.9931788895
8	0.9927239529
9	0.9923446838
10	0.9919560927
11	0.991712367
12	0.9914666658
13	0.9911380326
14	0.990853469
15	0.9906594565
16	0.9904511713
17	0.9902926018
18	0.9900980915
19	0.9899511585
20	0.9898118379
21	0.9896769067
22	0.9895711261
23	0.9894133503
24	0.9892971792
25	0.9891529007
26	0.9890575275
27	0.9889375415
28	0.988838085
29	0.9887380547
30	0.9886269899
31	0.9885707351
32	0.9884869324
33	0.9883878924
34	0.9883188521
35	0.9882270437
36	0.988138754
37	0.9880710927
38	0.9879574125
39	0.9878821088
40	0.9877863803
41	0.9876925103
42	0.9876305063
43	0.9875650454
44	0.9874815664
45	0.9874132205
46	0.9873152784
47	0.9872562189
48	0.9872053247
49	0.9871431036
50	0.9870952838
51	0.9870295296
52	0.986944159
53	0.986894384
54	0.986836936
55	0.9867715035
56	0.9867271799
57	0.9866720452
58	0.9865870668
59	0.9865150043
60	0.9864767823
61	0.9864053903
62	0.9863562441
63	0.986303559
64	0.986227882
65	0.9861646574
66	0.9861024769
67	0.9860625948
68	0.9860004472
69	0.9859435469
70	0.9858816336
71	0.985792977
72	0.985734483
73	0.9856817046
74	0.9856306213
75	0.9855972824
76	0.9855257053
77	0.985465937
78	0.9854110279
79	0.9853592531
80	0.9852934792
81	0.9852501836
82	0.9851922215
83	0.9851244547
84	0.9850648749
85	0.9850328728
86	0.9849854005
87	0.98494827
88	0.9848958158
89	0.9848561797
90	0.9848275915
91	0.9847716047
92	0.9847198927
93	0.9846762967
94	0.9846107693
95	0.9845675969
96	0.9844985312
97	0.9844876321
98	0.9844337824
99	0.984384183
100	0.9843494015
101	0.9843083639
102	0.9842490965
103	0.9841793244
104	0.984145935
105	0.9841153779
106	0.9840568852
107	0.9840139809
108	0.9839786892
109	0.9839356328
110	0.9837701052
111	0.9837123975
112	0.9836723824
113	0.9835952721
114	0.9835548439
115	0.9834943198
116	0.9834523272
117	0.9834016717
118	0.9833764276
119	0.983318706
120	0.9832636966
121	0.9832015103
122	0.9831373655
123	0.9830963823
124	0.9830601704
125	0.983028089
126	0.9829669635
127	0.9829013301
128	0.9828475783
129	0.9827830659
130	0.9827246189
131	0.9826631243
132	0.9826230932
133	0.9825792974
134	0.9825420927
135	0.9824818798
136	0.9824222115
137	0.9823585519
138	0.9823182703
139	0.9822509391
140	0.982194662
141	0.9821469293
142	0.9820983168
143	0.9820590645
144	0.9820016501
145	0.981952863
146	0.9819117957
147	0.9818705875
148	0.9818124783
149	0.98175184
150	0.9817097593
151	0.9816427486
152	0.9815893508
153	0.9814443033
154	0.9813914131
155	0.9813188053
156	0.9812738089
157	0.9812217295
158	0.9811341298
159	0.9810849378
160	0.9810268001
161	0.9809459012
162	0.9808828772
163	0.9808130919
164	0.9807574163
165	0.9806293334
166	0.9805772429
167	0.9804959597
168	0.9804477594
169	0.9803759726
170	0.9803047793
171	0.9802468675
172	0.9801833076
173	0.9801196865
174	0.9800697367
175	0.9800245443
176	0.9799644879
177	0.9798865276
178	0.9798300285
179	0.9797594931
180	0.979713375
181	0.9796483779
182	0.9795906298
183	0.9795281765
184	0.9794649962
185	0.9794024752
186	0.9793321812
187	0.9792901955
188	0.979233711
189	0.9791778774
190	0.9791241715
191	0.9790760716
192	0.9790164917
193	0.9789556436
194	0.9789008502
195	0.9788593372
196	0.9788144458
197	0.9787682945
198	0.978705491
199	0.9785600645
200	0.9785015715
201	0.9784643116
202	0.9784035519
203	0.9783304619
204	0.978271641
205	0.9782011085
206	0.9781464227
207	0.9780933057
208	0.9780359931
209	0.9779495091
210	0.9779007657
211	0.9778373466
212	0.9777867603
213	0.9777341081
214	0.9776866107
215	0.9776443112
216	0.977585918
217	0.9775236404
218	0.9774459613
219	0.9774091377
220	0.977373985
221	0.9773122157
222	0.9772561918
223	0.9772039939
224	0.9771560618
225	0.977110553
226	0.9770647688
227	0.9770121292
228	0.9769719034
229	0.9769145227
230	0.9768719783
231	0.9768165948
232	0.9767771185
233	0.9767177452
234	0.9766578534
235	0.9766139254
236	0.9765681112
237	0.9765169236
238	0.9764329585
239	0.9763691919
240	0.9762987734
241	0.9762286819
242	0.9761709698
243	0.9761100369
244	0.9760634507
245	0.9760041256
246	0.9759367806
247	0.9758725802
248	0.9758142847
249	0.9757450025
250	0.9756771513
251	0.9756356552
252	0.9755743823
253	0.975534116
254	0.9754793261
255	0.9754232375
256	0.975368411
257	0.9753050886
258	0.975253057
259	0.9752091655
260	0.9751605568
261	0.9751218879
262	0.9750773495
263	0.9750399815
264	0.9749911633
265	0.9749514774
266	0.9749038931
267	0.9748290712
268	0.9747755729
269	0.9747364144
270	0.9746778583
271	0.9746322796
272	0.9745749963
273	0.9745245565
274	0.9744778232
275	0.9744263311
276	0.9743801175
277	0.9743553924
278	0.9743049041
279	0.9742537607
280	0.9741963382
281	0.9741463974
282	0.9741025584
283	0.9740659661
284	0.9740182087
285	0.97388302
286	0.9738259966
287	0.9737752563
288	0.9737106724
289	0.9736749261
290	0.973623962
291	0.9735916422
292	0.9735468609
293	0.9734958761
294	0.9734408329
295	0.9733907929
296	0.9733419029
297	0.9733082492
298	0.9732407545
299	0.9731928164
300	0.9731536055
301	0.9731149627
302	0.9730706101
303	0.9730359895
304	0.9729899368
305	0.9729519734
306	0.9729120435
307	0.9728432142
308	0.9727907652
309	0.9727461725
310	0.9726977259
311	0.9726504331
312	0.972604015
313	0.9725613551
314	0.9725077772
315	0.9724601985
316	0.9724127164
317	0.9723684106
318	0.9723286162
319	0.9723032273
320	0.9722685685
321	0.9722266091
322	0.9721899582
323	0.9721328083
324	0.972100168
325	0.9720642032
326	0.9720207414
327	0.9719696898
328	0.971912428
329	0.9718712308
330	0.9718080752
331	0.9717665629
332	0.9717062191
333	0.9716704937
334	0.9716403244
335	0.9715887142
336	0.9715475945
337	0.9714994309
338	0.9714385008
339	0.9714072867
340	0.9713697631
341	0.9713261872
342	0.9712960833
343	0.9712537802
344	0.9712104167
345	0.9711226939
346	0.9710998185
347	0.9710312613
348	0.970939944
349	0.9708977432
350	0.9708261963
351	0.9707914081
352	0.9707440917
353	0.9706837182
354	0.9706313267
355	0.9705832989
356	0.9705407908
357	0.9704769707
358	0.9704375347
359	0.9703992723
360	0.9703359815
361	0.9702921265
362	0.9702557275
363	0.9702168308
364	0.970135111
365	0.9700917564
366	0.9700373611
367	0.9699891718
368	0.9699468868
369	0.9699138031
370	0.9698706003
371	0.9698310133
372	0.9698041095
373	0.9697488462
374	0.9697102865
375	0.9696770779
376	0.9696389348
377	0.969560366
378	0.969523529
379	0.9694921147
380	0.9694327553
381	0.9693786942
382	0.969339714
383	0.9692902069
384	0.9692663952
385	0.9692158658
386	0.9691697747
387	0.9691185688
388	0.9690723476
389	0.9690347634
390	0.9689893507
391	0.9689323367
392	0.968893944
393	0.968858857
394	0.9688165111
395	0.9687699178
396	0.9687283052
397	0.9686843553
398	0.9686411174
399	0.9686137608
400	0.9685868099
401	0.9685507379
402	0.9685046127
403	0.9684627501
404	0.9684317953
405	0.9683963771
406	0.9683635314
407	0.9683034857
408	0.9682624289
409	0.9682103895
410	0.9681731293
411	0.9681337043
412	0.9680946568
413	0.9680464696
414	0.9678846665
415	0.9678547484
416	0.9678182042
417	0.967776878
418	0.9677416817
419	0.96771351
420	0.9676646955
421	0.967605948
422	0.9675552803
423	0.9674999564
424	0.9674644986
425	0.967435048
426	0.9673737366
427	0.9673512853
428	0.9673118044
429	0.96726646
430	0.9672065466
431	0.9671489607
432	0.9671328631
433	0.9670879494
434	0.9670092154
435	0.9669653339
436	0.9668977607
437	0.9668658325
438	0.9668290659
439	0.9667864086
440	0.9667535541
441	0.9666935099
442	0.9666392419
443	0.9666140397
444	0.9665668428
445	0.9665183336
446	0.9664667241
447	0.9664182457
448	0.9663626481
449	0.9663186714
450	0.9662760368
451	0.9662333516
452	0.9661963198
453	0.9661555822
454	0.9660989505
455	0.9659457961
456	0.9659109462
457	0.9658854957
458	0.9658298459
459	0.9657869016
460	0.9657625842
461	0.9657208048
462	0.9656992763
463	0.9656616529
464	0.9656273224
465	0.965581691
466	0.9655440039
467	0.9654817726
468	0.9654319866
469	0.9653813417
470	0.9653515557
471	0.9653080322
472	0.9652624337
473	0.9652066924
474	0.9651575848
475	0.9651109384
476	0.9650663163
477	0.9650385298
478	0.965002916
479	0.9649230937
480	0.9648506118
481	0.9648064915
482	0.964733482
483	0.9646719794
484	0.964644475
485	0.964589669
486	0.9645414016
487	0.9645112516
488	0.9644581449
489	0.9644165112
490	0.9643823112
491	0.9643429425
492	0.9642885017
493	0.9642501741
494	0.9642270995
495	0.9641832732
496	0.9641470748
497	0.9640936689
498	0.9640440125
499	0.9640201071
500	0.9639794887
501	0.9639290748
502	0.9638863621
503	0.9638180187
504	0.9637798298
505	0.9637370907
506	0.9636948499
507	0.9636424264
508	0.9636173285
509	0.9635931085
510	0.9635413138
511	0.963485915
512	0.9634622832
513	0.9634036754
514	0.9633611114
515	0.9633296132
516	0.9632990665
517	0.9632609903
518	0.9632125665
519	0.9631395995
520	0.9631173253
521	0.9630538384
522	0.9630174936
523	0.9629846082
524	0.9629316132
525	0.962896924
526	0.9628576706
527	0.9628071119
528	0.9627845039
529	0.9627154659
530	0.9626865228
531	0.9626508729
532	0.9626108105
533	0.9625625867
534	0.962518763
535	0.9624962742
536	0.9624466302
537	0.9624044344
538	0.9623693722
539	0.9623462096
540	0.9623199834
541	0.9622799785
542	0.9622404868
543	0.9622049329
544	0.9621340742
545	0.9620926312
546	0.9620619181
547	0.9620232309
548	0.9619749673
549	0.9619366829
550	0.9618812269
551	0.9618471541
552	0.9618278794
553	0.9617766184
554	0.9617436875
555	0.9616925228
556	0.9616569122
557	0.9616300807
558	0.9615862615
559	0.9615614853
560	0.9615169004
561	0.9614774388
562	0.9614518501
563	0.9614198595
564	0.9613820715
565	0.9613467765
566	0.9612998441
567	0.9612705132
568	0.9612060326
569	0.9611635614
570	0.9611178184
571	0.9610966562
572	0.9610613768
573	0.9610243244
574	0.9609946925
575	0.9609616482
576	0.960923938
577	0.9608850233
578	0.9608473341
579	0.9608089872
580	0.9607521332
581	0.9607132648
582	0.9606854593
583	0.9606419539
584	0.9606143118
585	0.9605563564
586	0.9605120326
587	0.9604928421
588	0.9604667128
589	0.960421591
590	0.9603839916
591	0.9603509965
592	0.9602989257
593	0.9602526314
594	0.9601955738
595	0.9601595992
596	0.9601256694
597	0.9600889185
598	0.9600477791
599	0.9600215909
600	0.9599983291
601	0.9599575658
602	0.9599116351
603	0.9598774052
604	0.9598275492
605	0.9598094742
606	0.9597580748
607	0.9597128391
608	0.9596838286
609	0.9596425122
