iter	Passed	Remaining
0	51	51632
1	88	44207
2	125	41616
3	158	39477
4	196	39180
5	233	38617
6	269	38189
7	304	37752
8	340	37539
9	383	37934
10	420	37827
11	457	37666
12	493	37459
13	536	37760
14	576	37872
15	611	37614
16	652	37716
17	688	37586
18	723	37369
19	760	37252
20	796	37135
21	832	36992
22	875	37190
23	912	37127
24	949	37023
25	984	36880
26	1023	36884
27	1070	37157
28	1105	37009
29	1140	36863
30	1182	36947
31	1218	36863
32	1254	36752
33	1288	36612
34	1324	36513
35	1359	36398
36	1395	36322
37	1430	36203
38	1464	36095
39	1500	36021
40	1535	35925
41	1580	36057
42	1620	36054
43	1659	36047
44	1696	36000
45	1731	35918
46	1767	35841
47	1803	35776
48	1840	35723
49	1879	35706
50	1916	35655
51	1955	35646
52	2049	36613
53	2124	37216
54	2184	37530
55	2226	37540
56	2267	37509
57	2348	38136
58	2443	38970
59	2515	39415
60	2579	39709
61	2637	39905
62	2693	40061
63	2765	40451
64	2834	40778
65	2924	41391
66	3009	41910
67	3061	41965
68	3101	41845
69	3142	41755
70	3198	41845
71	3248	41870
72	3286	41738
73	3326	41623
74	3364	41495
75	3425	41650
76	3485	41786
77	3535	41789
78	3574	41668
79	3612	41539
80	3652	41435
81	3690	41316
82	3736	41285
83	3782	41245
84	3821	41134
85	3861	41037
86	3900	40932
87	3937	40806
88	3979	40735
89	4019	40646
90	4057	40528
91	4095	40424
92	4134	40323
93	4172	40212
94	4211	40115
95	4255	40070
96	4304	40071
97	4330	39856
98	4367	39751
99	4409	39689
100	4449	39601
101	4485	39490
102	4522	39387
103	4561	39301
104	4616	39347
105	4656	39273
106	4694	39176
107	4732	39089
108	4789	39154
109	4843	39188
110	4900	39249
111	4967	39388
112	5037	39538
113	5095	39599
114	5149	39632
115	5204	39659
116	5256	39667
117	5309	39686
118	5371	39766
119	5421	39754
120	5470	39738
121	5518	39713
122	5571	39726
123	5616	39678
124	5656	39595
125	5697	39524
126	5735	39424
127	5772	39326
128	5811	39241
129	5860	39223
130	5907	39185
131	5945	39098
132	5984	39011
133	6020	38905
134	6059	38824
135	6095	38725
136	6137	38660
137	6174	38570
138	6209	38463
139	6247	38379
140	6285	38292
141	6321	38195
142	6362	38132
143	6411	38113
144	6447	38019
145	6484	37931
146	6524	37859
147	6561	37771
148	6598	37688
149	6638	37618
150	6704	37695
151	6747	37641
152	6800	37646
153	6842	37590
154	6881	37514
155	6936	37528
156	6996	37568
157	7041	37522
158	7078	37440
159	7119	37376
160	7156	37294
161	7202	37258
162	7240	37180
163	7281	37116
164	7317	37031
165	7378	37068
166	7478	37302
167	7541	37346
168	7577	37261
169	7616	37188
170	7658	37126
171	7768	37397
172	7881	37675
173	7930	37649
174	7972	37584
175	8019	37547
176	8076	37554
177	8119	37494
178	8173	37487
179	8243	37554
180	8286	37495
181	8329	37437
182	8366	37350
183	8407	37284
184	8446	37211
185	8493	37172
186	8533	37101
187	8600	37148
188	8641	37080
189	8680	37008
190	8761	37109
191	8870	37328
192	8974	37525
193	9027	37507
194	9072	37453
195	9117	37399
196	9160	37339
197	9196	37249
198	9234	37168
199	9273	37093
200	9309	37008
201	9344	36913
202	9409	36942
203	9474	36970
204	9549	37034
205	9647	37183
206	9725	37258
207	9842	37478
208	9920	37545
209	10010	37658
210	10125	37862
211	10224	38005
212	10273	37958
213	10326	37928
214	10370	37863
215	10419	37820
216	10470	37782
217	10524	37752
218	10623	37885
219	10711	37975
220	10767	37953
221	10830	37955
222	10889	37942
223	10955	37951
224	11054	38076
225	11125	38101
226	11178	38065
227	11234	38039
228	11287	38001
229	11343	37976
230	11399	37950
231	11513	38112
232	11589	38151
233	11660	38170
234	11707	38111
235	11783	38147
236	11907	38335
237	11985	38375
238	12038	38331
239	12130	38414
240	12241	38553
241	12288	38489
242	12339	38441
243	12386	38378
244	12444	38349
245	12571	38531
246	12631	38506
247	12679	38446
248	12736	38414
249	12791	38375
250	12843	38324
251	12893	38270
252	12950	38238
253	13013	38219
254	13067	38178
255	13118	38124
256	13160	38047
257	13201	37966
258	13248	37902
259	13287	37817
260	13325	37728
261	13364	37643
262	13399	37549
263	13440	37470
264	13484	37401
265	13563	37426
266	13622	37396
267	13674	37350
268	13714	37268
269	13752	37181
270	13791	37098
271	13828	37011
272	13867	36928
273	13918	36878
274	14015	36950
275	14074	36921
276	14118	36850
277	14153	36758
278	14204	36708
279	14245	36630
280	14282	36544
281	14322	36467
282	14357	36376
283	14395	36291
284	14434	36214
285	14480	36150
286	14518	36067
287	14556	35986
288	14594	35905
289	14629	35816
290	14668	35737
291	14715	35681
292	14752	35597
293	14790	35517
294	14829	35439
295	14891	35416
296	14971	35436
297	15025	35395
298	15066	35323
299	15105	35245
300	15140	35159
301	15177	35078
302	15217	35005
303	15266	34952
304	15313	34895
305	15351	34816
306	15388	34737
307	15426	34660
308	15470	34595
309	15527	34560
310	15573	34502
311	15621	34446
312	15687	34431
313	15737	34382
314	15788	34333
315	15827	34258
316	15879	34213
317	15928	34160
318	15971	34095
319	16021	34046
320	16062	33976
321	16103	33906
322	16146	33841
323	16192	33785
324	16237	33723
325	16280	33660
326	16335	33620
327	16379	33558
328	16425	33500
329	16467	33434
330	16515	33380
331	16559	33318
332	16601	33253
333	16641	33184
334	16694	33139
335	16748	33098
336	16798	33049
337	16861	33024
338	16912	32977
339	16964	32930
340	17014	32882
341	17056	32816
342	17098	32750
343	17145	32695
344	17208	32671
345	17250	32607
346	17297	32550
347	17340	32488
348	17392	32443
349	17438	32385
350	17484	32328
351	17531	32274
352	17571	32205
353	17615	32145
354	17659	32085
355	17702	32023
356	17746	31962
357	17792	31906
358	17828	31833
359	17872	31772
360	17924	31728
361	17981	31690
362	18039	31655
363	18082	31595
364	18124	31531
365	18171	31477
366	18213	31415
367	18260	31360
368	18307	31306
369	18406	31340
370	18479	31330
371	18532	31286
372	18578	31230
373	18624	31173
374	18667	31112
375	18711	31053
376	18756	30995
377	18805	30944
378	18859	30901
379	18901	30839
380	18962	30807
381	19033	30792
382	19078	30735
383	19121	30674
384	19163	30611
385	19219	30572
386	19262	30511
387	19312	30462
388	19358	30406
389	19407	30355
390	19448	30292
391	19488	30227
392	19534	30172
393	19588	30128
394	19633	30071
395	19678	30014
396	19719	29951
397	19764	29894
398	19858	29912
399	19904	29857
400	19947	29797
401	19991	29738
402	20031	29674
403	20085	29631
404	20131	29576
405	20172	29513
406	20215	29453
407	20258	29395
408	20299	29332
409	20344	29276
410	20389	29219
411	20430	29158
412	20471	29096
413	20519	29043
414	20589	29023
415	20642	28978
416	20709	28953
417	20789	28946
418	20836	28891
419	20898	28859
420	20942	28801
421	20993	28754
422	21049	28712
423	21100	28664
424	21151	28616
425	21196	28561
426	21259	28528
427	21312	28483
428	21366	28439
429	21411	28382
430	21451	28319
431	21495	28262
432	21534	28198
433	21577	28140
434	21630	28094
435	21714	28088
436	21772	28050
437	21824	28002
438	21868	27946
439	21917	27895
440	21962	27839
441	22015	27793
442	22066	27744
443	22111	27688
444	22174	27656
445	22250	27638
446	22304	27594
447	22354	27544
448	22407	27497
449	22459	27450
450	22506	27397
451	22557	27348
452	22606	27297
453	22655	27246
454	22704	27196
455	22760	27153
456	22819	27113
457	22870	27065
458	22925	27021
459	22973	26968
460	23018	26913
461	23066	26861
462	23111	26805
463	23160	26754
464	23205	26699
465	23331	26735
466	23406	26714
467	23503	26718
468	23568	26683
469	23632	26649
470	23703	26622
471	23761	26580
472	23826	26546
473	23897	26519
474	23968	26492
475	24013	26435
476	24061	26381
477	24102	26321
478	24148	26265
479	24193	26209
480	24239	26154
481	24298	26113
482	24340	26054
483	24399	26012
484	24491	26006
485	24534	25947
486	24578	25891
487	24621	25832
488	24661	25771
489	24704	25712
490	24747	25654
491	24790	25596
492	24835	25541
493	24878	25482
494	24919	25422
495	24966	25369
496	25023	25326
497	25077	25279
498	25120	25220
499	25158	25158
500	25201	25100
501	25246	25045
502	25320	25018
503	25361	24958
504	25408	24905
505	25453	24850
506	25499	24794
507	25557	24752
508	25598	24692
509	25644	24638
510	25683	24577
511	25728	24522
512	25772	24465
513	25818	24411
514	25872	24365
515	25922	24314
516	25965	24257
517	26013	24205
518	26069	24161
519	26135	24125
520	26207	24095
521	26265	24051
522	26317	24002
523	26369	23954
524	26438	23920
525	26498	23879
526	26545	23825
527	26601	23780
528	26654	23731
529	26716	23692
530	26778	23651
531	26839	23610
532	26897	23566
533	26952	23520
534	27010	23476
535	27068	23432
536	27146	23405
537	27193	23351
538	27237	23296
539	27276	23235
540	27325	23183
541	27377	23134
542	27425	23081
543	27470	23026
544	27553	23003
545	27616	22963
546	27673	22917
547	27713	22858
548	27760	22804
549	27809	22753
550	27852	22696
551	27898	22642
552	27937	22582
553	27991	22534
554	28047	22488
555	28093	22434
556	28145	22384
557	28197	22335
558	28239	22278
559	28281	22221
560	28334	22172
561	28377	22116
562	28417	22057
563	28457	21998
564	28498	21941
565	28541	21885
566	28578	21824
567	28620	21767
568	28664	21712
569	28717	21663
570	28763	21610
571	28802	21551
572	28843	21494
573	28902	21450
574	28952	21399
575	29015	21358
576	29064	21307
577	29103	21248
578	29146	21192
579	29195	21141
580	29277	21113
581	29329	21064
582	29370	21008
583	29413	20952
584	29457	20896
585	29500	20841
586	29551	20791
587	29603	20742
588	29649	20689
589	29692	20634
590	29738	20580
591	29793	20533
592	29858	20492
593	29942	20465
594	29990	20413
595	30035	20359
596	30086	20309
597	30138	20259
598	30197	20215
599	30245	20163
600	30299	20115
601	30356	20069
602	30399	20014
603	30444	19960
604	30489	19906
605	30532	19851
606	30597	19810
607	30652	19762
608	30711	19717
609	30758	19665
