iter	RMSE
0	1290.648778
1	1289.910006
2	1289.760768
3	1289.583864
4	1289.52763
5	1289.419843
6	1289.397346
7	1289.236117
8	1289.074824
9	1289.031752
10	1289.009689
11	1289.009666
12	1288.976121
13	1288.861281
14	1288.842653
15	1288.842653
16	1288.836274
17	1288.82543
18	1288.802171
19	1288.802171
20	1288.801349
21	1288.737788
22	1288.674123
23	1288.470037
24	1288.377189
25	1288.313093
26	1288.167835
27	1287.918537
28	1287.623063
29	1287.530033
30	1287.286676
31	1287.069536
32	1286.802469
33	1286.556846
34	1286.30717
35	1286.006524
36	1285.800001
37	1285.526324
38	1285.383604
39	1285.234886
40	1285.162976
41	1285.057577
42	1285.001693
43	1284.903924
44	1284.689701
45	1284.525307
46	1284.380918
47	1284.332791
48	1284.189506
49	1284.097552
50	1283.984025
51	1283.820689
52	1283.763884
53	1283.658285
54	1283.532966
55	1283.496818
56	1283.386402
57	1283.276565
58	1283.216263
59	1283.169348
60	1283.072683
61	1283.027343
62	1282.982351
63	1282.955175
64	1282.88971
65	1282.847583
66	1282.779873
67	1282.761149
68	1282.717057
69	1282.660883
70	1282.591522
71	1282.546164
72	1282.501764
73	1282.434372
74	1282.38952
75	1282.374177
76	1282.349194
77	1282.328871
78	1282.319546
79	1282.313424
80	1282.298904
81	1282.292877
82	1282.284645
83	1282.266023
84	1282.240877
85	1282.214114
86	1282.201528
87	1282.153866
88	1282.094407
89	1282.068659
90	1282.044063
91	1282.037664
92	1282.000706
93	1281.990452
94	1281.976586
95	1281.962976
96	1281.95222
97	1281.926671
98	1281.886567
99	1281.85897
