iter	Passed	Remaining
0	34	3424
1	112	5511
2	168	5452
3	212	5105
4	245	4660
5	270	4242
6	296	3933
7	347	3990
8	426	4312
9	452	4073
10	481	3891
11	513	3767
12	564	3776
13	605	3719
14	633	3589
15	654	3435
16	721	3521
17	747	3403
18	774	3300
19	793	3172
20	814	3063
21	840	2980
22	907	3037
23	1124	3560
24	1194	3583
25	1250	3560
26	1285	3475
27	1341	3448
28	1559	3816
29	1614	3767
30	1826	4064
31	2018	4290
32	2230	4528
33	2444	4745
34	2669	4958
35	2871	5104
36	3087	5256
37	3298	5381
38	3530	5521
39	3737	5605
40	3948	5682
41	4158	5743
42	4369	5792
43	4589	5840
44	4807	5876
45	5014	5886
46	5233	5901
47	5442	5896
48	5673	5905
49	5878	5878
50	6093	5854
51	6306	5821
52	6518	5780
53	6746	5746
54	6953	5689
55	7166	5631
56	7380	5568
57	7593	5498
58	7829	5441
59	8023	5349
60	8240	5268
61	8432	5168
62	8658	5084
63	8863	4985
64	9086	4892
65	9292	4787
66	9509	4683
67	9748	4587
68	9947	4469
69	10171	4359
70	10384	4241
71	10600	4122
72	10820	4001
73	11032	3876
74	11265	3755
75	11487	3627
76	11706	3496
77	11925	3363
78	12139	3226
79	12360	3090
80	12598	2955
81	12804	2810
82	13034	2669
83	13246	2523
84	13486	2380
85	13702	2230
86	13917	2079
87	14152	1929
88	14366	1775
89	14596	1621
90	14808	1464
91	15034	1307
92	15264	1148
93	15479	988
94	15706	826
95	15930	663
96	16148	499
97	16375	334
98	16596	167
99	16837	0
